,score_name,pitch_name,pitch_onset,pitch_offset
0,childrens_corner_1_(c)oguri,C,3 3/4,4 1/12
1,childrens_corner_1_(c)oguri,G,4 1/2,4 3/4
2,childrens_corner_1_(c)oguri,C,4 3/4,5
3,childrens_corner_1_(c)oguri,D,5,5 1/4
4,childrens_corner_1_(c)oguri,E,5 1/4,5 1/2
5,childrens_corner_1_(c)oguri,G,5 1/2,5 3/4
6,childrens_corner_1_(c)oguri,E,5 3/4,6
7,childrens_corner_1_(c)oguri,D,6,6 1/4
8,childrens_corner_1_(c)oguri,F,6 1/4,6 1/2
9,childrens_corner_1_(c)oguri,D,6 1/2,6 3/4
10,childrens_corner_1_(c)oguri,F,6 3/4,7
11,childrens_corner_1_(c)oguri,A,7,7 1/4
12,childrens_corner_1_(c)oguri,B,7 1/4,7 1/2
13,childrens_corner_1_(c)oguri,E,7 2/3,7 11/12
14,childrens_corner_1_(c)oguri,C,8,8 1/4
15,childrens_corner_1_(c)oguri,E,8 1/4,8 1/2
16,childrens_corner_1_(c)oguri,B,8 1/2,8 3/4
17,childrens_corner_1_(c)oguri,C,8 3/4,9
18,childrens_corner_1_(c)oguri,G,9,9 1/4
19,childrens_corner_1_(c)oguri,A,9 1/4,9 1/2
20,childrens_corner_1_(c)oguri,C,9 1/2,9 3/4
21,childrens_corner_1_(c)oguri,A,9 3/4,10
22,childrens_corner_1_(c)oguri,B,10,10 1/4
23,childrens_corner_1_(c)oguri,F,10 1/4,10 1/2
24,childrens_corner_1_(c)oguri,G,10 2/3,10 11/12
25,childrens_corner_1_(c)oguri,E,11,11 1/4
26,childrens_corner_1_(c)oguri,G,11 1/4,11 1/2
27,childrens_corner_1_(c)oguri,E,11 2/3,11 11/12
28,childrens_corner_1_(c)oguri,C,12,12 1/4
29,childrens_corner_1_(c)oguri,D,12 1/4,12 1/2
30,childrens_corner_1_(c)oguri,E,12 1/2,12 3/4
31,childrens_corner_1_(c)oguri,D,12 3/4,13 1/12
32,childrens_corner_1_(c)oguri,E,13 1/4,13 1/2
33,childrens_corner_1_(c)oguri,G,13 1/2,13 3/4
34,childrens_corner_1_(c)oguri,B,13 3/4,14
35,childrens_corner_1_(c)oguri,E,14,14 1/4
36,childrens_corner_1_(c)oguri,G,14 1/4,14 1/2
37,childrens_corner_1_(c)oguri,A,14 2/3,14 11/12
